{'loss': '-0.06616', 'grad_norm': '5.241', 'learning_rate': '3.333e-07', 'num_tokens': '2.823e+04', 'completions/mean_length': '5.1', 'completions/min_length': '4', 'completions/max_length': '5.8', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '5.1', 'completions/min_terminated_length': '4', 'completions/max_terminated_length': '5.8', 'rewards/reward_func/mean': '-0.42', 'rewards/reward_func/std': '0.64', 'reward': '-0.42', 'reward_std': '0.64', 'frac_reward_zero_std': '0.4', 'entropy': '0.3146', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '4.014', 'epoch': '0.001252'}
{'loss': '-0.06702', 'grad_norm': '2.048', 'learning_rate': '7.5e-07', 'num_tokens': '5.56e+04', 'completions/mean_length': '5.9', 'completions/min_length': '5', 'completions/max_length': '6.6', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '5.9', 'completions/min_terminated_length': '5', 'completions/max_terminated_length': '6.6', 'rewards/reward_func/mean': '-0.4037', 'rewards/reward_func/std': '0.5031', 'reward': '-0.4037', 'reward_std': '0.5031', 'frac_reward_zero_std': '0.2', 'entropy': '0.2867', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.64', 'epoch': '0.002503'}
{'loss': '-0.06004', 'grad_norm': '0', 'learning_rate': '1.167e-06', 'num_tokens': '8.34e+04', 'completions/mean_length': '6.1', 'completions/min_length': '4.2', 'completions/max_length': '7.6', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.1', 'completions/min_terminated_length': '4.2', 'completions/max_terminated_length': '7.6', 'rewards/reward_func/mean': '-0.7186', 'rewards/reward_func/std': '0.4304', 'reward': '-0.7186', 'reward_std': '0.4304', 'frac_reward_zero_std': '0.4', 'entropy': '0.2979', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.638', 'epoch': '0.003755'}
{'loss': '-0.06922', 'grad_norm': '0', 'learning_rate': '1.583e-06', 'num_tokens': '1.102e+05', 'completions/mean_length': '5.1', 'completions/min_length': '4.6', 'completions/max_length': '5.8', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '5.1', 'completions/min_terminated_length': '4.6', 'completions/max_terminated_length': '5.8', 'rewards/reward_func/mean': '-0.9', 'rewards/reward_func/std': '0.02309', 'reward': '-0.9', 'reward_std': '0.02309', 'frac_reward_zero_std': '0.8', 'entropy': '0.3297', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.615', 'epoch': '0.005006'}
{'loss': '-0.1345', 'grad_norm': '10.25', 'learning_rate': '2e-06', 'num_tokens': '1.372e+05', 'completions/mean_length': '6.1', 'completions/min_length': '4.8', 'completions/max_length': '7.2', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.1', 'completions/min_terminated_length': '4.8', 'completions/max_terminated_length': '7.2', 'rewards/reward_func/mean': '0.04', 'rewards/reward_func/std': '0.903', 'reward': '0.04', 'reward_std': '0.903', 'frac_reward_zero_std': '0.2', 'entropy': '0.2269', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.719', 'epoch': '0.006258'}
{'loss': '-0.03192', 'grad_norm': '0', 'learning_rate': '2.417e-06', 'num_tokens': '1.641e+05', 'completions/mean_length': '5.85', 'completions/min_length': '5.2', 'completions/max_length': '6.6', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '5.85', 'completions/min_terminated_length': '5.2', 'completions/max_terminated_length': '6.6', 'rewards/reward_func/mean': '-0.28', 'rewards/reward_func/std': '0.4373', 'reward': '-0.28', 'reward_std': '0.4373', 'frac_reward_zero_std': '0.4', 'entropy': '0.2304', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.681', 'epoch': '0.007509'}
{'loss': '0.01043', 'grad_norm': '0', 'learning_rate': '2.833e-06', 'num_tokens': '1.926e+05', 'completions/mean_length': '5.8', 'completions/min_length': '4.8', 'completions/max_length': '7', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '5.8', 'completions/min_terminated_length': '4.8', 'completions/max_terminated_length': '7', 'rewards/reward_func/mean': '-0.3286', 'rewards/reward_func/std': '0.4229', 'reward': '-0.3286', 'reward_std': '0.4229', 'frac_reward_zero_std': '0.4', 'entropy': '0.333', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.73', 'epoch': '0.008761'}
{'loss': '-0.0686', 'grad_norm': '3.368', 'learning_rate': '3.25e-06', 'num_tokens': '2.219e+05', 'completions/mean_length': '6.05', 'completions/min_length': '5', 'completions/max_length': '7.4', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.05', 'completions/min_terminated_length': '5', 'completions/max_terminated_length': '7.4', 'rewards/reward_func/mean': '-0.3186', 'rewards/reward_func/std': '0.4304', 'reward': '-0.3186', 'reward_std': '0.4304', 'frac_reward_zero_std': '0.4', 'entropy': '0.3025', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.786', 'epoch': '0.01001'}
{'loss': '-0.07106', 'grad_norm': '2.615', 'learning_rate': '3.667e-06', 'num_tokens': '2.487e+05', 'completions/mean_length': '5.5', 'completions/min_length': '4.4', 'completions/max_length': '6.6', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '5.5', 'completions/min_terminated_length': '4.4', 'completions/max_terminated_length': '6.6', 'rewards/reward_func/mean': '-0.4', 'rewards/reward_func/std': '0.6648', 'reward': '-0.4', 'reward_std': '0.6648', 'frac_reward_zero_std': '0.2', 'entropy': '0.2544', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.685', 'epoch': '0.01126'}
{'loss': '-0.1081', 'grad_norm': '0', 'learning_rate': '4.083e-06', 'num_tokens': '2.755e+05', 'completions/mean_length': '6.2', 'completions/min_length': '4.2', 'completions/max_length': '8', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '6.2', 'completions/min_terminated_length': '4.2', 'completions/max_terminated_length': '8', 'rewards/reward_func/mean': '-0.2', 'rewards/reward_func/std': '0.5551', 'reward': '-0.2', 'reward_std': '0.5551', 'frac_reward_zero_std': '0.4', 'entropy': '0.3488', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.691', 'epoch': '0.01252'}
{'loss': '-0.08206', 'grad_norm': '0', 'learning_rate': '4.5e-06', 'num_tokens': '3.024e+05', 'completions/mean_length': '5.8', 'completions/min_length': '4.8', 'completions/max_length': '6.6', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '5.8', 'completions/min_terminated_length': '4.8', 'completions/max_terminated_length': '6.6', 'rewards/reward_func/mean': '-0.18', 'rewards/reward_func/std': '0.7171', 'reward': '-0.18', 'reward_std': '0.7171', 'frac_reward_zero_std': '0.4', 'entropy': '0.1931', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.632', 'epoch': '0.01377'}
